"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_10881","","hypothetical protein","26","369","337","21","7.162534435261708","5.384615384615385","0.004390726399845601","2.1776170639095596e-151","8.462655433765331e-147","2.8208851445884435e-147"
"cysE_1","","Serine acetyltransferase","26","369","337","21","7.162534435261708","5.384615384615385","0.004390726399845601","2.1776170639095596e-151","8.462655433765331e-147","2.8208851445884435e-147"
"group_20898","","hypothetical protein","26","369","337","21","7.162534435261708","5.384615384615385","0.004390726399845601","2.1776170639095596e-151","8.462655433765331e-147","2.8208851445884435e-147"
"wzb","","Low molecular weight protein-tyrosine-phosphatase Wzb","27","369","336","21","7.43801652892562","5.384615384615385","0.004573170731707317","2.875284751051912e-150","1.117393159953794e-145","1.8623219332563234e-146"
"group_16369","","hypothetical protein","27","369","336","21","7.43801652892562","5.384615384615385","0.004573170731707317","2.875284751051912e-150","1.117393159953794e-145","1.8623219332563234e-146"
"group_20055","","hypothetical protein","27","369","336","21","7.43801652892562","5.384615384615385","0.004573170731707317","2.875284751051912e-150","1.117393159953794e-145","1.8623219332563234e-146"
"group_16372","dapH","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","26","368","337","22","7.162534435261708","5.641025641025641","0.004612308089278803","3.8036835118918655e-150","1.4781874863914168e-145","2.1116964091305956e-146"
"group_14089","","hypothetical protein","28","369","335","21","7.7134986225895315","5.384615384615385","0.004756704283460745","3.723612629312151e-149","1.4470703400032882e-144","1.8088379250041102e-145"
"wzc","","Tyrosine-protein kinase wzc","27","368","336","22","7.43801652892562","5.641025641025641","0.004803959627329193","4.802841630560738e-149","1.8664803144685142e-144","2.073867016076127e-145"
"gmd","","GDP-mannose 4,6-dehydratase","26","367","337","23","7.162534435261708","5.897435897435897","0.0048350973083546925","6.913021623979005e-149","2.686538463510721e-144","2.6865384635107212e-145"
"ugd","","UDP-glucose 6-dehydrogenase","332","20","31","370","91.46005509641874","94.87179487179486","198.1290322580645","4.455697395339926e-147","1.731573121777002e-142","1.574157383433638e-143"
"group_16375","","hypothetical protein","24","361","339","29","6.6115702479338845","7.435897435897436","0.005687250263525605","1.2011695315956114e-144","4.667985033686865e-140","3.8899875280723875e-141"
"group_14491","","hypothetical protein","303","4","60","386","83.47107438016529","98.97435897435898","487.325","7.343112594282598e-142","2.8536804163901033e-137","2.195138781838541e-138"
"group_8976","galF","UTP--glucose-1-phosphate uridylyltransferase","326","20","37","370","89.80716253443526","94.87179487179486","163.0","1.0990176952388848e-140","4.271002567237354e-136","3.050716119455253e-137"
"fcl","","GDP-L-fucose synthase","24","357","339","33","6.6115702479338845","8.461538461538462","0.00654421060459582","1.4481971110854905e-140","5.627983613100433e-136","3.517489758187771e-137"
"gmm","","GDP-mannose mannosyl hydrolase","24","357","339","33","6.6115702479338845","8.461538461538462","0.00654421060459582","1.4481971110854905e-140","5.627983613100433e-136","3.517489758187771e-137"
"manC1","","Mannose-1-phosphate guanylyltransferase 1","22","354","341","36","6.0606060606060606","9.230769230769232","0.0065609622744669215","7.502345073228337e-140","2.9155613423579966e-135","1.715036083739998e-136"
"group_6213","lapB_2","hypothetical protein","300","4","63","386","82.64462809917356","98.97435897435898","459.5238095238095","2.664158385427231e-139","1.0353452317447306e-134","5.751917954137392e-136"
"yphF","","ABC transporter periplasmic-binding protein YphF","66","387","297","3","18.181818181818183","0.7692307692307693","0.0017226528854435831","1.3299044894911503e-138","5.168274827060508e-134","2.72014464582132e-135"
"group_8101","yphF","ABC transporter periplasmic-binding protein YphF","299","4","64","386","82.36914600550963","98.97435897435898","450.8359375","1.848665619531482e-138","7.184284330623245e-134","3.592142165311623e-135"
"mshA_2","","D-inositol-3-phosphate glycosyltransferase","337","34","26","356","92.8374655647383","91.28205128205128","135.71493212669682","2.7482432442707466e-137","1.0680222895884976e-132","5.085820426611893e-134"
"ycgZ","","putative two-component-system connector protein YcgZ","73","389","290","1","20.110192837465565","0.2564102564102564","0.0006471057530360784","6.207155918055208e-137","2.412224932874615e-132","1.0964658785793705e-133"
"mglA_2","","Galactose/methyl galactoside import ATP-binding protein MglA","66","386","297","4","18.181818181818183","1.0256410256410255","0.002302820955670697","8.554419080273174e-137","3.324418342975761e-132","1.4453992795546786e-133"
"wzxC","","Lipopolysaccharide biosynthesis protein WzxC","23","351","340","39","6.336088154269973","10.0","0.007516339869281046","1.0212176609712811e-135","3.9686560740665925e-131","1.587462429626637e-132"
"wcaJ","","UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase","23","351","340","39","6.336088154269973","10.0","0.007516339869281046","1.0212176609712811e-135","3.9686560740665925e-131","1.587462429626637e-132"
"algC","","Phosphomannomutase/phosphoglucomutase","24","352","339","38","6.6115702479338845","9.743589743589745","0.007642799678197908","1.409957849280783e-135","5.479378193874979e-131","2.1074531514903765e-132"
"group_8366","","hypothetical protein","295","4","68","386","81.26721763085399","98.97435897435898","418.6397058823529","3.7597447412017216e-135","1.461112001325813e-130","5.411525930836345e-132"
"hmp","","Flavohemoprotein","70","386","293","4","19.28374655647383","1.0256410256410255","0.0024757290137756636","1.5721969803700407e-133","6.109871905114052e-129","2.182097108969304e-130"
"group_12243","","hypothetical protein","25","351","338","39","6.887052341597796","10.0","0.00821827744904668","1.7315113974472109e-133","6.72899959275935e-129","2.3203446871583965e-130"
"group_8699","mglA_2","Galactose/methyl galactoside import ATP-binding protein MglA","292","4","71","386","80.44077134986226","98.97435897435898","396.8732394366197","9.983779268379789e-133","3.8798962992777536e-128","1.2932987664259178e-129"
"group_2690","","hypothetical protein","24","349","339","41","6.6115702479338845","10.512820512820513","0.008317062656895809","1.2005753830767007e-132","4.665676053712674e-128","1.5050567915202177e-129"
"group_13736","hmp","Flavohemoprotein","293","5","70","385","80.71625344352617","98.71794871794873","322.3","7.936826527305624e-132","3.0844095250415116e-127","9.638779765754724e-129"
"group_14490","","hypothetical protein","292","5","71","385","80.44077134986226","98.71794871794873","316.67605633802816","5.012201848879957e-131","1.9478418825117287e-126","5.72894671326979e-128"
"group_20399","","hypothetical protein","292","5","71","385","80.44077134986226","98.71794871794873","316.67605633802816","5.012201848879957e-131","1.9478418825117287e-126","5.72894671326979e-128"
"galF","","UTP--glucose-1-phosphate uridylyltransferase","24","346","339","44","6.6115702479338845","11.282051282051283","0.009003018057189626","5.1582124267803496e-130","2.0045845132953794e-125","5.727384323701084e-127"
"group_16786","","hypothetical protein","292","6","71","384","80.44077134986226","98.46153846153847","263.2112676056338","2.103134693948962e-129","8.173202047624456e-125","2.208973526384988e-126"
"msiK","","Diacetylchitobiose uptake system ATP-binding protein MsiK","292","6","71","384","80.44077134986226","98.46153846153847","263.2112676056338","2.103134693948962e-129","8.173202047624456e-125","2.208973526384988e-126"
"mlrA","","HTH-type transcriptional regulator MlrA","86","390","277","0","23.69146005509642","0.0","0.0","2.548868414530438e-129","9.905412432548188e-125","2.5398493416790226e-126"
