"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_14730","","hypothetical protein","58","62","15","618","79.45205479452055","90.88235294117646","38.541935483870965","1.0246632970368867e-38","3.982046504944749e-34","3.982046504944749e-34"
"bcsE_2","","hypothetical protein","36","4","37","676","49.31506849315068","99.41176470588235","164.43243243243242","1.53954970130461e-36","5.982998049209976e-32","2.991499024604988e-32"
"group_6340","ompD_1","Outer membrane porin protein OmpD","57","76","16","604","78.08219178082192","88.8235294117647","28.3125","6.144543670160967e-34","2.387892561097955e-29","7.959641870326517e-30"
"group_23795","","IS630 family transposase ISAeme16","31","1","42","679","42.465753424657535","99.8529411764706","501.1666666666667","1.1853356404577564e-33","4.606451365946933e-29","1.1516128414867333e-29"
"fljB","","Phase 2 flagellin","72","206","1","474","98.63013698630137","69.70588235294117","165.66990291262135","4.864500517025357e-33","1.8904421909263943e-28","3.7808843818527887e-29"
"group_17681","","hypothetical protein","29","0","44","680","39.726027397260275","100.0","inf","1.0860202834180651e-32","4.220492025419285e-28","6.029274322027549e-29"
"group_22796","","hypothetical protein","29","0","44","680","39.726027397260275","100.0","inf","1.0860202834180651e-32","4.220492025419285e-28","6.029274322027549e-29"
"galF_2","","UTP--glucose-1-phosphate uridylyltransferase","31","2","42","678","42.465753424657535","99.70588235294117","250.21428571428572","1.8454451623824733e-32","7.171768990050768e-28","8.631228485504037e-29"
"ydeO_2","","HTH-type transcriptional regulator YdeO","34","6","39","674","46.57534246575342","99.11764705882354","97.93162393162393","1.9988949711681418e-32","7.768105636953633e-28","8.631228485504037e-29"
"group_15008","","hypothetical protein","29","1","44","679","39.726027397260275","99.8529411764706","447.52272727272725","3.0666572754443346e-31","1.1917643503831774e-26","1.0834221367119794e-27"
"pagN_2","","Outer membrane protein PagN","29","1","44","679","39.726027397260275","99.8529411764706","447.52272727272725","3.0666572754443346e-31","1.1917643503831774e-26","1.0834221367119794e-27"
"yfaL","","putative autotransporter YfaL","27","639","46","41","36.986301369863014","6.029411764705882","0.03766074709124311","1.782442651442836e-30","6.926928632037149e-26","5.7724405266976245e-27"
"group_12079","dinG","ATP-dependent DNA helicase DinG","66","159","7","521","90.41095890410958","76.61764705882354","30.89487870619946","2.875372618153169e-30","1.1174273068666845e-25","8.595594668205265e-27"
"group_13264","","hypothetical protein","29","2","44","678","39.726027397260275","99.70588235294117","223.4318181818182","4.4737186586268245e-30","1.7385765451155564e-25","1.2418403893682546e-26"
"group_23865","","hypothetical protein","37","16","36","664","50.68493150684932","97.6470588235294","42.65277777777778","7.047346421778263e-30","2.7387397664314685e-25","1.8258265109543125e-26"
"gnu","","N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase","57","97","16","583","78.08219178082192","85.73529411764706","21.41172680412371","1.4483982402758067e-29","5.62876524135984e-25","3.5179782758499e-26"
"group_17261","","hypothetical protein","33","9","40","671","45.20547945205479","98.6764705882353","61.50833333333333","3.5063243421848494e-29","1.3626277658598761e-24","8.015457446234566e-26"
"dinG","","ATP-dependent DNA helicase DinG","8","521","65","159","10.95890410958904","23.38235294117647","0.03756090358777499","5.606574521986332e-29","2.1788269907343286e-24","1.2104594392968493e-25"
"group_13057","","hypothetical protein","28","2","45","678","38.35616438356164","99.70588235294117","210.93333333333334","6.725731615360995e-29","2.61375382036159e-24","1.306876910180795e-25"
"group_15010","","hypothetical protein","28","2","45","678","38.35616438356164","99.70588235294117","210.93333333333334","6.725731615360995e-29","2.61375382036159e-24","1.306876910180795e-25"
"group_15019","","hypothetical protein","34","12","39","668","46.57534246575342","98.23529411764706","48.52991452991453","1.4589196360921745e-28","5.6696534897814086e-24","2.577115222627913e-25"
"group_15077","ompD_2","Outer membrane porin protein OmpD","34","12","39","668","46.57534246575342","98.23529411764706","48.52991452991453","1.4589196360921745e-28","5.6696534897814086e-24","2.577115222627913e-25"
"group_17679","","hypothetical protein","34","13","39","667","46.57534246575342","98.08823529411764","44.72978303747534","4.992212072859156e-28","1.9400734557545254e-23","7.760293823018102e-25"
"group_22794","","hypothetical protein","34","13","39","667","46.57534246575342","98.08823529411764","44.72978303747534","4.992212072859156e-28","1.9400734557545254e-23","7.760293823018102e-25"
"group_22795","rcbA","Double-strand break reduction protein","34","13","39","667","46.57534246575342","98.08823529411764","44.72978303747534","4.992212072859156e-28","1.9400734557545254e-23","7.760293823018102e-25"
"sepA","","Serine protease SepA autotransporter","36","18","37","662","49.31506849315068","97.35294117647058","35.78378378378378","7.8561965289762565e-28","3.0530750950907527e-23","1.1742596519579817e-24"
"group_4138","","hypothetical protein","26","625","47","55","35.61643835616438","8.088235294117647","0.048680851063829786","1.063109275057857e-27","4.1314552647298436e-23","1.5301686165666088e-24"
"group_8441","lexA_1","LexA repressor","37","21","36","659","50.68493150684932","96.91176470588235","32.2526455026455","1.2269447793388655e-27","4.768152801466699e-23","1.7029117148095355e-24"
"group_13088","","hypothetical protein","34","14","39","666","46.57534246575342","97.94117647058823","41.472527472527474","1.619872609554927e-27","6.295148935252358e-23","2.1707410121559854e-24"
"group_8269","gatC","PTS system galactitol-specific EIIC component","32","10","41","670","43.83561643835616","98.52941176470588","52.292682926829265","1.898973313855264e-27","7.379790092304328e-23","2.4599300307681094e-24"
"group_12800","","hypothetical protein","43","42","30","638","58.9041095890411","93.82352941176471","21.773015873015872","6.088384083808532e-27","2.366067822649672e-22","7.632476847257006e-24"
"group_8588","","hypothetical protein","24","0","49","680","32.87671232876712","100.0","inf","9.638298259842465e-27","3.7456354697399787e-22","1.1705110842937433e-23"
"group_17594","","hypothetical protein","41","36","32","644","56.16438356164384","94.70588235294117","22.92013888888889","1.292044478218887e-26","5.021143251254239e-22","1.5215585609861332e-23"
"rrrD_3","","Lysozyme RrrD","26","2","47","678","35.61643835616438","99.70588235294117","187.53191489361703","1.4197264594054567e-26","5.517340966541486e-22","1.622747343100437e-23"
"group_28795","","hypothetical protein","25","1","48","679","34.24657534246575","99.8529411764706","353.6458333333333","1.5776013781452022e-26","6.130874475747885e-22","1.7030206877077458e-23"
"group_28837","","hypothetical protein","25","1","48","679","34.24657534246575","99.8529411764706","353.6458333333333","1.5776013781452022e-26","6.130874475747885e-22","1.7030206877077458e-23"
"group_18221","","hypothetical protein","30","8","43","672","41.0958904109589","98.82352941176471","58.604651162790695","2.004403695229574e-26","7.789513640401171e-22","2.0498720106318872e-23"
"group_9303","","hypothetical protein","30","8","43","672","41.0958904109589","98.82352941176471","58.604651162790695","2.004403695229574e-26","7.789513640401171e-22","2.0498720106318872e-23"
"group_6716","","hypothetical protein","41","37","32","643","56.16438356164384","94.55882352941177","22.2660472972973","2.598201361454065e-26","1.0097130130882787e-21","2.5890077258673813e-23"
"group_7119","","hypothetical protein","45","54","28","626","61.64383561643836","92.05882352941175","18.63095238095238","7.256214126325215e-26","2.8199099337725052e-21","7.049774834431263e-23"
"group_4591","","hypothetical protein","32","13","41","667","43.83561643835616","98.08823529411764","40.04502814258912","7.927580736466262e-26","3.0808164258055186e-21","7.514186404403704e-23"
"group_21438","","hypothetical protein","26","3","47","677","35.61643835616438","99.55882352941177","124.83687943262412","1.2867525765962284e-25","5.0005778631682626e-21","7.595316369202017e-23"
"group_6458","","hypothetical protein","26","3","47","677","35.61643835616438","99.55882352941177","124.83687943262412","1.2867525765962284e-25","5.0005778631682626e-21","7.595316369202017e-23"
"hypB","","Hydrogenase maturation factor HypB","50","680","23","0","68.4931506849315","0.0","0.0","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_14428","","hypothetical protein","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"subB","","Subtilase cytotoxin subunit B","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_28785","","hypothetical protein","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_28786","","hypothetical protein","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"dpnM","","Modification methylase DpnIIA","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_28790","","hypothetical protein","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_28791","","hypothetical protein","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"iraM","","Anti-adapter protein IraM","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_28793","","hypothetical protein","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_28796","","hypothetical protein","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_28797","dnaT_2","Primosomal protein 1","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_28798","","hypothetical protein","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_28799","","hypothetical protein","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_28800","","hypothetical protein","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_28801","relE2","Toxin RelE2","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
"group_28803","xerC_1","Tyrosine recombinase XerC","23","0","50","680","31.506849315068493","100.0","inf","1.407191545938308e-25","5.468627785825452e-21","7.595316369202017e-23"
