"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_10520","coaA_1","hypothetical protein","5","458","200","90","2.4390243902439024","16.423357664233578","0.0049126637554585155","9.416034032516075e-103","3.659259145716397e-98","3.659259145716397e-98"
"yggP","","Mannitol-1-phosphate 5-dehydrogenase","10","461","195","87","4.878048780487805","15.875912408759124","0.00967795761722009","3.465712915352801e-96","1.3468453531644055e-91","6.734226765822028e-92"
"group_16962","","hypothetical protein","179","50","26","498","87.3170731707317","90.87591240875912","68.57076923076923","7.040196421691592e-96","2.735961133397786e-91","9.119870444659288e-92"
"group_8057","yggP","Mannitol-1-phosphate 5-dehydrogenase","196","91","9","457","95.60975609756098","83.3941605839416","109.36752136752136","1.0177184154376687e-95","3.955057306073868e-91","9.88764326518467e-92"
"group_14617","","hypothetical protein","178","49","27","499","86.82926829268293","91.05839416058394","67.13681027966743","2.474310058624178e-95","9.615663749825281e-91","1.923132749965056e-91"
"cspB","","Cold shock-like protein CspB","178","51","27","497","86.82926829268293","90.69343065693431","64.24546114742193","4.562069636502298e-94","1.772911502137523e-89","2.9548525035625385e-90"
"group_20513","fliC","Flagellin","132","1","73","547","64.39024390243902","99.81751824817519","989.0958904109589","2.644049184346806e-92","1.027530394020856e-87","1.467900562886937e-88"
"rbsK_2","","Ribokinase","10","431","195","117","4.878048780487805","21.350364963503647","0.013921113689095127","1.503418231699543e-82","5.842583932030764e-78","7.303229915038455e-79"
"kdgM","","hypothetical protein","14","440","191","108","6.829268292682928","19.708029197080293","0.017991432651118515","6.587872716909543e-81","2.5601790952453867e-76","2.8446434391615408e-77"
"algC","","Phosphomannomutase/phosphoglucomutase","205","171","0","377","100.0","68.7956204379562","inf","1.4302601321724764e-79","5.558276925648678e-75","5.558276925648678e-76"
"group_20512","fliD","Flagellar hook-associated protein 2","146","26","59","522","71.21951219512195","95.25547445255475","49.68187744458931","2.010921963165001e-78","7.814844933251827e-74","7.104404484774388e-75"
"wzxC","","Lipopolysaccharide biosynthesis protein WzxC","204","170","1","378","99.51219512195122","68.97810218978103","453.6","1.4998217561431401e-77","5.828607308723471e-73","4.4835440836334394e-74"
"wcaJ","","UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase","204","170","1","378","99.51219512195122","68.97810218978103","453.6","1.4998217561431401e-77","5.828607308723471e-73","4.4835440836334394e-74"
"group_12243","","hypothetical protein","204","172","1","376","99.51219512195122","68.61313868613139","445.95348837209303","6.4722597167192895e-77","2.5152495711114503e-72","1.6768330474076336e-73"
"manC1","","Mannose-1-phosphate guanylyltransferase 1","204","172","1","376","99.51219512195122","68.61313868613139","445.95348837209303","6.4722597167192895e-77","2.5152495711114503e-72","1.6768330474076336e-73"
"group_16375","","hypothetical protein","205","180","0","368","100.0","67.15328467153284","inf","1.768466770620833e-76","6.872615563986681e-72","4.295384727491676e-73"
"era_2","","GTPase Era","191","119","14","429","93.17073170731707","78.28467153284672","49.183073229291715","2.3515893447425962e-76","9.138746511538678e-72","5.375733242081575e-73"
"group_2690","","hypothetical protein","203","170","2","378","99.02439024390245","68.97810218978103","225.68823529411765","1.406076152266818e-75","5.464293142939308e-71","3.03571841274406e-72"
"fcl","","GDP-L-fucose synthase","204","177","1","371","99.51219512195122","67.7007299270073","427.59322033898303","3.671381406384315e-75","1.4267722421490725e-70","7.133861210745363e-72"
"gmm","","GDP-mannose mannosyl hydrolase","204","177","1","371","99.51219512195122","67.7007299270073","427.59322033898303","3.671381406384315e-75","1.4267722421490725e-70","7.133861210745363e-72"
"gmd","","GDP-mannose 4,6-dehydratase","205","188","0","360","100.0","65.69343065693431","inf","5.986937553919652e-74","2.3266436722042553e-69","1.1079255581925026e-70"
"cspE_1","","Cold shock-like protein CspE","157","49","48","499","76.58536585365854","91.05839416058394","33.30909863945578","2.165288935320935e-73","8.414745860444218e-69","3.824884482020099e-70"
"group_10881","","hypothetical protein","205","190","0","358","100.0","65.32846715328468","inf","2.7309860256363265e-73","1.061315789282789e-68","4.006951043021699e-70"
"cysE_1","","Serine acetyltransferase","205","190","0","358","100.0","65.32846715328468","inf","2.7309860256363265e-73","1.061315789282789e-68","4.006951043021699e-70"
"group_20898","","hypothetical protein","205","190","0","358","100.0","65.32846715328468","inf","2.7309860256363265e-73","1.061315789282789e-68","4.006951043021699e-70"
"wzc","","Tyrosine-protein kinase wzc","205","190","0","358","100.0","65.32846715328468","inf","2.7309860256363265e-73","1.061315789282789e-68","4.006951043021699e-70"
"group_1554","","hypothetical protein","181","98","24","450","88.29268292682927","82.11678832116789","34.630102040816325","2.7838937306774195e-73","1.0818767816158587e-68","4.006951043021699e-70"
"wzb","","Low molecular weight protein-tyrosine-phosphatase Wzb","205","191","0","357","100.0","65.14598540145985","inf","5.3782334770831135e-73","2.0900890938640394e-68","6.966963646213465e-70"
"group_16369","","hypothetical protein","205","191","0","357","100.0","65.14598540145985","inf","5.3782334770831135e-73","2.0900890938640394e-68","6.966963646213465e-70"
"group_20055","","hypothetical protein","205","191","0","357","100.0","65.14598540145985","inf","5.3782334770831135e-73","2.0900890938640394e-68","6.966963646213465e-70"
"group_14089","","hypothetical protein","205","192","0","356","100.0","64.96350364963503","inf","1.3857483880525448e-72","5.3852953856498e-68","1.7371920598870323e-69"
